Territori,Tipus de territori,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Barcelona,Municipi,"630,38","627,39","625,94","626,00","626,40","619,28","622,16","627,46","592,84","600,89","606,87","604,52","633,20"
Ciutat Vella,Districte,"808,00","801,00","807,68","807,78","791,54","774,84","774,30","787,88","787,61","816,21","835,58","845,58","817,49"
el Raval,Barri,"949,00","958,00","984,00","983,00","976,16","948,52","951,14","966,40","959,06","974,00","973,31","981,61",-
el Barri Gòtic,Barri,"543,00","518,00","495,00","477,00","466,23","453,72","460,61","475,80","501,03","562,12","636,41","670,09",-
la Barceloneta,Barri,"1.235,00","1.210,00","1.202,00","1.185,00","1.160,40","1.149,01","1.116,69","1.115,10","1.099,59","1.120,27","1.115,76","1.120,37",-
"Sant Pere, Santa Caterina i la Ribera",Barri,"701,00","694,00","705,00","705,00","702,01","695,30","691,02","706,40","695,54","715,19","717,39","710,15",-
Eixample,Districte,"712,00","710,00","713,00","710,00","711,41","706,83","710,83","717,95","717,25","723,17","727,96","724,25","717,55"
el Fort Pienc,Barri,"975,00","970,00","967,00","950,00","951,72","944,48","948,95","959,60","957,30","970,79","992,20","995,39",-
la Sagrada Família,Barri,"1.007,00","1.010,00","1.012,00","1.006,00","1.001,30","994,94","1.002,46","1.008,40","1.008,55","1.013,56","1.025,19","1.022,82",-
la Dreta de l'Eixample,Barri,"378,00","377,00","381,00","381,00","384,16","382,46","383,86","388,50","385,40","388,34","389,30","387,08",-
l'Antiga Esquerra de l'Eixample,Barri,"624,00","619,00","624,00","624,00","627,01","622,36","625,47","634,40","636,64","644,13","645,86","643,44",-
la Nova Esquerra de l'Eixample,Barri,"885,00","880,00","884,00","880,00","880,20","876,09","883,27","893,10","893,86","900,07","899,74","888,13",-
Sant Antoni,Barri,"920,00","916,00","925,00","923,00","925,30","917,20","923,69","929,20","928,40","933,39","941,62","937,05",-
Sants-Montjuïc,Districte,"734,00","737,00","745,00","738,21","737,74","723,76","727,86","731,88","724,80","737,41","745,48","743,94","735,08"
el Poble Sec - AEI Parc de Montjuïc,Barri,"1.123,00","1.129,00","1.149,00","1.141,00","1.132,41","1.016,03","1.039,90","1.046,50","1.051,58","1.064,67","1.058,03","1.055,22",-
la Marina del Prat Vermell - AEI Zona Franca,Barri,"30,00","31,00","31,00","32,00","31,23","31,31","31,89","32,00","32,35","33,41","34,17","38,20",-
la Marina de Port,Barri,"747,00","752,00","779,00","774,00","774,31","772,93","774,17","777,90","789,46","798,14","804,94","799,28",-
la Font de la Guatlla,Barri,"901,00","896,00","902,00","904,00","912,15","908,65","904,26","913,60","904,11","909,90","898,85","890,35",-
Hostafrancs,Barri,"716,00","708,00","716,00","713,00","710,83","703,15","710,74","712,30","722,25","730,58","733,49","728,60",-
la Bordeta,Barri,"902,00","895,00","902,00","900,00","893,61","890,10","896,88","892,30","908,34","937,73","943,71","935,14",-
Sants - Badal,Barri,"969,00","969,00","979,00","969,00","964,81","955,62","952,47","956,90","957,39","975,56","994,06","992,15",-
Sants,Barri,"759,00","756,00","750,00","739,00","739,93","732,46","734,95","742,30","696,89","712,73","737,20","735,34",-
Les Corts,Districte,"462,00","460,00","460,00","455,55","455,62","452,68","453,29","456,02","460,90","464,03","464,28","457,52","454,71"
les Corts,Barri,"730,00","726,00","721,00","712,00","712,02","704,74","704,41","706,20","712,89","719,79","721,83","710,09",-
la Maternitat i Sant Ramon,Barri,"718,00","723,00","728,00","724,00","726,49","729,05","731,16","734,70","753,52","761,45","760,69","749,21",-
Pedralbes,Barri,"144,00","143,00","144,00","145,00","143,09","142,55","144,08","147,20","147,37","146,81","146,03","144,53",-
Sarrià-Sant Gervasi,Districte,"315,00","316,00","318,00","319,47","321,20","321,07","322,85","326,29","245,07","246,29","247,61","244,39","327,66"
"Vallvidrera, el Tibidabo i les Planes",Barri,"47,00","48,00","49,00","50,00","51,56","51,42","51,86","52,40","19,43","19,50","19,46","19,67",-
Sarrià,Barri,"253,00","255,00","259,00","260,00","262,56","261,08","258,33","261,10","261,78","263,39","264,49","259,63",-
les Tres Torres,Barri,"370,00","371,00","375,00","376,00","385,23","387,52","387,23","391,30","392,70","392,53","391,26","384,85",-
Sant Gervasi - la Bonanova,Barri,"295,00","295,00","299,00","300,00","309,10","307,63","313,88","315,70","315,49","318,16","319,83","316,49",-
Sant Gervasi - Galvany,Barri,"487,00","484,00","486,00","487,00","488,45","488,76","493,45","500,10","500,65","502,49","502,35","496,29",-
el Putxet i el Farró,Barri,"569,00","564,00","560,00","551,00","545,71","547,28","550,98","557,30","558,77","562,59","573,00","564,71",-
Gràcia,Districte,"622,00","605,00","607,00","602,53","601,83","600,62","603,15","605,39","604,01","606,74","610,68","608,17","600,57"
Vallcarca i els Penitents,Barri,"339,00","328,00","330,00","329,00","328,73","330,50","329,56","332,10","334,60","329,86","334,95","338,69",-
el Coll,Barri,"653,00","589,00","589,00","583,00","589,12","592,51","595,90","598,90","600,06","604,72","612,68","620,00",-
la Salut,Barri,"700,00","678,00","676,00","681,00","683,96","689,27","683,85","681,30","681,47","687,61","690,02","690,00",-
la Vila de Gràcia,Barri,"626,00","613,00","613,00","606,00","607,23","604,05","607,10","609,70","602,61","606,40","607,87","600,67",-
el Camp d'en Grassot i Gràcia Nova,Barri,"900,00","895,00","903,00","895,00","886,12","880,20","889,54","893,60","898,87","913,57","920,94","918,23",-
Horta-Guinardó,Districte,"586,00","576,00","543,00","568,86","565,92","563,57","568,44","574,67","584,80","595,12","603,12","600,22","593,89"
el Baix Guinardó,Barri,"1.097,00","1.097,00","1.092,00","1.081,00","1.078,27","1.073,17","1.077,26","1.084,50","1.087,56","1.095,87","1.103,88","1.090,38",-
Can Baró,Barri,"608,00","623,00","628,00","625,00","619,69","614,95","625,41","629,00","634,08","646,29","652,16","651,75",-
el Guinardó,Barri,"683,00","682,00","682,00","682,00","682,56","684,00","693,78","700,70","709,02","715,29","722,41","717,79",-
la Font d'en Fargues,Barri,"259,00","241,00","242,00","240,00","239,76","238,24","238,11","238,20","243,68","245,23","246,21","244,97",-
el Carmel,Barri,"851,00","822,00","578,00","813,00","804,58","797,68","795,68","802,40","806,78","815,47","824,01","830,56",-
la Teixonera,Barri,"637,00","626,00","625,00","619,00","604,03","603,08","598,79","631,00","690,59","698,83","707,02","712,66",-
Sant Genís dels Agudells,Barri,"396,00","389,00","386,00","383,00","379,44","373,31","377,40","385,30","395,31","438,31","446,85","436,98",-
Montbau,Barri,"450,00","446,00","441,00","438,00","435,42","432,34","445,10","454,20","454,08","456,55","460,07","448,60",-
la Vall d'Hebron,Barri,"689,00","685,00","683,00","674,00","665,32","670,85","731,64","725,00","793,10","802,22","813,70","823,89",-
la Clota,Barri,"74,00","75,00","74,00","72,00","86,40","88,53","96,37","99,80","108,30","113,08","116,88","114,43",-
Horta,Barri,"440,00","435,00","426,00","419,00","419,78","417,60","419,70","422,00","424,83","435,24","449,07","443,91",-
Nou Barris,Districte,"719,00","718,00","717,00","709,96","710,10","699,66","709,23","716,78","722,89","735,88","747,58","745,50","740,08"
Vilapicina i la Torre Llobeta,Barri,"879,00","873,00","876,00","881,00","879,46","877,75","880,20","870,80","875,26","882,76","889,17","883,11",-
Porta,Barri,"683,00","683,00","696,00","695,00","701,94","688,97","698,64","711,30","715,84","743,53","778,69","778,60",-
el Turó de la Peira,Barri,"1.243,00","1.246,00","1.205,00","1.161,00","1.152,23","1.150,86","1.144,54","1.154,40","1.173,49","1.189,19","1.222,56","1.216,99",-
Can Peguera,Barri,"267,00","270,00","269,00","268,00","275,28","273,72","365,77","368,60","362,63","365,56","363,44","363,11",-
la Guineueta,Barri,"680,00","679,00","675,00","672,00","671,19","675,25","674,28","691,50","693,57","698,34","699,33","693,95",-
Canyelles,Barri,"804,00","796,00","792,00","781,00","771,56","621,74","622,28","618,70","627,97","627,88","626,51","619,36",-
les Roquetes,Barri,"871,00","872,00","875,00","860,00","854,37","845,68","847,33","859,40","864,58","890,11","899,25","910,05",-
Verdun,Barri,"845,00","845,00","855,00","847,00","837,52","856,77","859,13","867,70","873,76","883,10","898,54","905,99",-
la Prosperitat,Barri,"976,00","975,00","972,00","965,00","960,70","949,37","957,12","965,60","977,42","990,89","997,13","991,44",-
la Trinitat Nova,Barri,"626,00","613,00","607,00","601,00","593,80","583,45","577,51","579,00","586,30","606,60","610,50","605,40",-
Torre Baró,Barri,"100,00","101,00","101,00","101,00","124,12","126,21","131,92","135,00","136,54","138,33","138,05","137,88",-
Ciutat Meridiana,Barri,"716,00","718,00","710,00","692,00","683,81","676,48","663,94","684,70","702,19","718,19","733,19","738,54",-
Vallbona,Barri,"197,00","199,00","198,00","199,00","200,17","197,51","199,43","203,80","206,11","207,14","209,21","206,03",-
Sant Andreu (Districte),-,"777,00","775,00","776,00","764,70","771,14","761,05","761,79","768,00","779,04","788,30","797,33","795,05","784,84"
la Trinitat Vella,Barri,"815,00","816,00","818,00","821,00","808,94","792,47","791,60","788,30","788,23","814,38","826,20","827,80",-
Baró de Viver,Barri,"611,00","617,00","616,00","617,00","640,86","634,22","641,99","649,10","644,60","662,14","667,48","680,26",-
el Bon Pastor,Barri,"854,00","846,00","821,00","796,00","793,40","702,00","704,24","703,70","715,68","737,37","766,92","771,35",-
Sant Andreu (Barri),-,"748,00","746,00","749,00","735,00","735,68","735,76","738,24","746,70","753,79","757,70","765,00","761,11",-
la Sagrera,Barri,"739,00","739,00","736,00","733,00","732,97","730,48","725,98","734,20","766,11","771,44","774,62","776,06",-
el Congrés i els Indians,Barri,"691,00","694,00","699,00","731,00","734,67","732,95","729,96","738,60","741,68","760,54","769,37","761,73",-
Navas,Barri,"963,00","959,00","974,00","969,00","975,56","976,31","982,13","985,40","987,47","992,62","1.000,44","995,49",-
Sant Martí,Districte,"859,00","860,00","867,00","862,87","867,53","840,74","842,45","844,78","820,33","831,40","836,68","834,83","816,17"
el Camp de l'Arpa del Clot,Barri,"892,00","884,00","889,00","883,00","887,39","888,51","890,23","893,00","896,08","909,93","915,24","905,31",-
el Clot,Barri,"1.174,00","1.159,00","1.157,00","1.150,00","1.146,77","1.140,51","1.140,29","1.147,10","1.153,90","1.159,15","1.154,69","1.143,55",-
el Parc i la Llacuna del Poblenou,Barri,"690,00","699,00","715,00","731,00","754,02","745,04","746,42","761,80","694,32","703,84","714,32","713,63",-
la Vila Olímpica del Poblenou,Barri,"382,00","383,00","382,00","385,00","388,40","385,71","386,54","388,80","382,51","383,98","385,57","386,63",-
el Poblenou,Barri,"737,00","753,00","764,00","771,00","784,55","785,96","789,88","797,20","755,05","759,16","764,98","764,69",-
Diagonal Mar i el Front Marítim del Poblenou,Barri,"489,00","522,00","544,00","560,00","579,77","580,55","584,37","595,40","570,71","568,37","564,27","564,00",-
el Besòs i el Maresme,Barri,"904,00","906,00","901,00","878,00","904,90","891,20","882,42","880,40","837,72","877,38","907,22","929,40",-
Provençals del Poblenou,Barri,"1.504,00","1.451,00","1.475,00","1.487,00","1.497,23","1.495,50","1.521,84","1.501,60","1.322,30","1.391,07","1.405,52","1.384,64",-
Sant Martí de Provençals,Barri,"1.151,00","1.151,00","1.151,00","1.144,00","1.144,83","1.147,00","1.149,50","1.118,20","1.113,95","1.117,19","1.117,19","1.120,90",-
la Verneda i la Pau,Barri,"978,00","964,00","971,00","899,00","891,59","716,68","715,03","716,90","721,69","723,41","721,27","719,95",-